,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
161,Beckham,OK,0.835,0.127,7529,6287,958,0.851,0.132,7948,6767,1048,35.26862449,-99.68128023,949,11,22971,12263,10708,14.2,75.7,3.3,1.4,0.9,0.1,16740,49625,5818,23883,1717,12.6,13.5,25.6,17.9,24.2,14.9,17.4,87.6,7.6,0.2,1.5,0.8,2.4,17,9296,78.1,14.5,6.4,1,4.6
960,Franklin,NE,0.812,0.151,1656,1345,250,0.833,0.16,1721,1434,276,40.17636348,-98.95299073,94,0,3019,1514,1505,2.1,96.2,0.5,0,0.2,0,2424,49453,2456,28635,2012,13.3,18.8,34.8,15,18.8,15,16.4,82.5,6.2,0.3,4.5,1,5.4,18.2,1496,67.3,19.7,12.8,0.3,2.6
1132,Guernsey,OH,0.691,0.265,16156,11164,4286,0.734,0.253,17806,13077,4498,40.05026529,-81.49248905,439,8,39414,19544,19870,1.1,94.8,1.2,0.2,0.3,0,30380,42744,2537,22864,763,20.2,33.5,27.3,17.6,22.6,12.5,20,86,7.3,0.3,1.7,1.5,3.3,24.4,16454,80,13.3,6.6,0.2,8.5
2608,Somerset,PA,0.765,0.206,35730,27347,7367,0.776,0.213,40062,31105,8543,39.97172723,-79.02699593,474,3,75619,39289,36330,1.4,94.6,2.6,0.1,0.4,0,61414,46132,1176,23877,622,12.7,20.6,28.3,19.6,20.8,12.6,18.7,81.7,9.4,0.1,2.8,1.2,4.8,24.2,32886,80.6,11.4,7.3,0.6,6.1
1955,Montezuma,CO,0.612,0.309,12706,7771,3920,0.601,0.376,15421,9267,5802,37.33859579,-108.5958857,229,5,25770,12664,13106,12.2,73.1,0.2,11.8,0.1,0.1,19680,45645,3355,24440,1046,16.8,26.6,31.8,22.4,22.7,12.3,10.7,78.8,8.2,0.1,3.4,1.1,8.5,22,11258,66.1,21.9,11.7,0.3,5.9
2466,Saline,AR,0.682,0.252,52578,35852,13247,0.694,0.282,56903,39519,16042,34.64916145,-92.67583224,3056,34,116252,57280,58972,4.5,85.9,6.4,0.3,1.1,0.1,86881,58985,2015,28410,797,8,10.2,35.4,15.7,27.3,9.9,11.5,85.9,9.7,0,0.5,1.1,2.7,26.1,55741,78.9,16.6,4.5,0.1,4.3
568,Clinton,MI,0.533,0.407,40564,21635,16490,0.524,0.458,47902,25095,21963,42.94400871,-84.60145248,1297,16,77321,38231,39090,4.4,90.2,1.7,0.1,1.5,0,58317,64903,1810,32792,741,10.1,10.7,40.4,15.7,22.7,8.7,12.4,85.9,6.5,1,1.4,0.6,4.6,23.3,37136,77,17,5.8,0.2,4.3
2497,Sanpete,UT,0.658,0.105,9778,6436,1026,0.828,0.142,12280,10173,1746,39.37231946,-111.5758676,0,0,28892,15311,13581,9.5,86.1,0.9,1,0.4,0.5,20289,50928,2718,17426,876,16.9,17.1,34.2,16.3,21.3,15,13.1,72.6,13.6,0.4,5.6,0.6,7.2,21,10784,75,17,8,0,6.8
1136,Guthrie,IA,0.637,0.304,5654,3603,1720,0.671,0.312,6369,4272,1985,41.68378965,-94.50111014,427,15,10664,5321,5343,2.4,95.6,0.3,0.3,0.3,0,8184,56306,1850,30646,2381,10.1,11.4,33.8,15.7,22.6,14.9,13.1,77.9,11.4,0.1,4.3,1,5.3,26.2,5350,75,15.5,8.8,0.7,3.5
1017,Geauga,OH,0.607,0.352,48736,29577,17165,0.606,0.379,55381,33581,20980,41.49952319,-81.17935342,991,50,93895,46220,47675,1.4,95.8,1.2,0.1,0.6,0,70960,77104,2375,39513,1496,6.5,8.8,40.8,14.8,23.3,9.8,11.3,79.2,8.2,0.5,1.8,2.2,8.2,28.3,47123,82.1,9.6,8.1,0.1,3.5
41,Alleghany,NC,0.727,0.249,5214,3789,1300,0.745,0.245,6040,4501,1480,36.49360862,-81.12857041,316,1,10935,5445,5490,9.4,87.3,2.4,0.1,0.2,0,8492,38944,2715,21153,1201,21,35.2,29.7,18,22.6,15.3,14.4,82.2,10.5,0.2,2.5,0.4,4.2,25,4447,70.6,16.9,12.4,0.2,5.7
2307,Prairie,AR,0.728,0.236,3440,2503,812,0.798,0.186,3465,2764,646,34.83624419,-91.55162157,248,4,8309,4132,4177,0.6,85,13.4,0.4,0,0,6602,41244,2365,22653,1494,16.8,23.4,28.1,15.7,19.5,12.3,24.4,78.7,11.5,0,2.2,2.7,4.9,26.8,3454,75.6,14.7,8.5,1.2,7.6
2644,St. Tammany,LA,0.731,0.223,124389,90914,27716,0.711,0.269,140110,99666,37746,30.40942847,-89.95642711,7803,271,249201,121268,127933,5.4,79.1,11.6,0.5,1.5,0,184173,66539,1488,33149,712,10.8,13.4,39.4,16.4,26,9.9,8.4,82.3,10.3,0.2,0.9,2.1,4.3,31,115543,79.7,13.4,6.6,0.2,6.4
31,Alcorn,MS,0.799,0.182,14781,11817,2684,0.811,0.175,15639,12689,2741,34.88084463,-88.57996173,1130,12,37242,18345,18897,3,83.2,11.7,0,0.3,0,27984,38919,1799,20527,1028,19.6,24.1,29.2,14.9,22.8,10.6,22.5,85.9,10.6,0.3,1,0.5,1.7,22.4,14884,81.1,13.9,5,0.1,8.6
2084,O'Brien,IA,0.78,0.179,7348,5735,1314,0.777,0.208,7541,5861,1569,43.08310673,-95.62474482,820,14,13944,6979,6965,4.5,93.2,0.7,0.2,0.9,0,10444,56314,5663,32051,2201,9.7,13.3,29.2,15.4,20.8,12.3,22.3,73.7,10.5,3.5,4.4,2,6,16.3,7418,79.2,9.8,11,0.1,2.3
1509,Knox,IL,0.485,0.453,21964,10658,9939,0.52,0.459,22716,11818,10421,40.93148779,-90.2133034,1467,21,51374,26079,25295,5.5,83.4,8.4,0,1,0,40401,41972,1269,23676,829,18.1,27,30.2,20.3,21.5,8.9,19.1,83,7.9,0.6,4.7,1.3,2.7,17.8,21330,81.1,13,5.8,0.2,6.3
1230,Henderson,TN,0.798,0.177,10172,8118,1796,0.815,0.174,12020,9797,2092,35.65581134,-88.38600175,1455,26,27889,13446,14443,2.2,87.6,8,0,0.2,0,21226,42711,3237,21344,1461,19.5,28,29.3,14.5,21.4,12.9,21.9,85.8,8.3,0.2,1,1,3.7,26.5,11255,75.7,17.5,6.8,0,9.5
1299,Hubbard,MN,0.636,0.3,11423,7269,3432,0.634,0.345,12927,8202,4462,47.10778564,-94.91693868,510,5,20743,10411,10332,2,93.1,0.7,2.1,0.6,0,16293,52941,1714,28073,687,10.8,16.6,32.3,21.2,20.5,12.5,13.5,78.9,8.8,0.6,3.8,1.1,6.7,21.6,9611,72.8,18.1,8.8,0.3,3.7
2420,Rock,MN,0.643,0.286,4807,3091,1373,0.684,0.297,5235,3580,1554,43.67482683,-96.25296832,397,6,9433,4641,4792,2.8,94.1,1,0.7,1,0,6970,56753,3817,29000,1574,11,12.6,35.3,15.9,20.4,13,15.4,80,8.9,0.7,2.4,1.2,6.7,19.2,4779,76.9,12.9,10,0.2,1.9
2704,Sumter,GA,0.481,0.503,10973,5275,5520,0.472,0.52,12150,5732,6318,32.03650571,-84.19821492,967,68,30687,14492,16195,5.3,39.8,52.3,0.1,1.1,0,22763,34219,2587,18785,973,33.4,53.5,31.2,17.8,20.6,9,21.4,79.8,13,0,3.3,0.5,3.3,20.3,11558,74.5,19.8,5.7,0,10.6
1054,Goshen,WY,0.774,0.162,5708,4418,924,0.782,0.193,6241,4878,1203,42.08798185,-104.3534743,184,3,13479,6967,6512,10.6,86.2,0.1,0.9,0.4,0,10483,48422,4319,27253,2127,13.2,19.5,34,21,16,14,14.9,79.1,8.9,0.1,3.6,1.7,6.6,18.7,6122,66.5,21.9,11,0.6,6.5
717,Davie,NC,0.726,0.245,21350,15502,5228,0.723,0.265,25059,18115,6653,35.93099927,-80.54496571,794,8,41766,20394,21372,6.5,84.9,6.1,0.1,0.7,0,31612,53493,3372,29234,1639,14,21.7,32.7,15.9,24.7,10,16.7,82,11,0.4,1.1,2.1,3.5,26.3,19212,81.6,11.5,6.5,0.4,6.5
1790,Marquette,MI,0.445,0.488,32897,14646,16042,0.435,0.546,37460,16288,20465,46.4338914,-87.64043701,1245,16,67145,33898,33247,1.4,92.4,1.6,0.8,0.9,0,54460,48491,1702,25550,825,16.4,16.2,32.5,22.9,23.4,11.3,9.9,80.2,8.7,0.6,5.7,1.5,3.4,17.6,29746,80.7,14.6,4.5,0.1,6.3
2765,Tillamook,OR,0.489,0.43,13261,6486,5701,0.497,0.476,16725,8306,7956,45.46248721,-123.712066,77,0,25840,13059,12781,10.3,84.7,0.3,0.6,0.7,0.4,20029,45061,2463,25458,1583,15.5,22.9,27,20.1,19.7,15.9,17.3,75.2,10.6,0.6,5.4,2.5,5.8,18.9,10070,73.6,16.3,9.9,0.2,5.5
451,Charlton,GA,0.736,0.25,4008,2950,1004,0.749,0.242,4566,3419,1103,30.78371028,-82.13951596,649,10,12963,7393,5570,8.4,62,25.3,1.5,0.8,0,9378,43257,6511,19102,1451,23.1,34.7,25,20.3,16.9,17.5,20.3,78.8,13.6,0.5,0.4,2.4,4.4,33.7,4412,74.8,19.8,5.2,0.2,10.4
2684,Stutsman,ND,0.675,0.25,9938,6706,2484,0.702,0.269,9959,6994,2676,46.97962541,-98.95637318,1061,8,21058,10781,10277,2.3,92.9,1.1,1.5,0.6,0.1,16486,56088,2738,31182,1454,11.1,18,36.7,20.9,19,11.6,11.7,80.5,9.9,0.7,3.4,1.5,3.9,15,11038,76.3,15.8,7.4,0.6,1.5
355,Calloway,KY,0.646,0.296,16045,10367,4749,0.651,0.332,17443,11351,5794,36.62093411,-88.2731593,1075,10,38616,18594,20022,2.6,89.7,3.7,0.3,1.8,0.1,30271,39269,2306,21757,1085,22.4,24.2,31.1,20,24.7,9.5,14.7,77.1,9.8,0.2,7.7,1.6,3.5,16.6,17382,72.7,20.6,6.4,0.3,5.7
1786,Marion,TX,0.706,0.275,4206,2968,1156,0.714,0.275,4844,3459,1331,32.79868409,-94.3566123,173,14,10140,5025,5115,3.9,70.9,23.7,0.3,0,0.2,8169,36938,3112,25933,3074,22.3,37.9,28.7,19.1,21.8,13,17.4,83.7,7.9,0,1.1,2,5.3,31.4,3635,73.3,16.4,10.1,0.2,10.7
1865,Meeker,MN,0.664,0.262,12198,8103,3192,0.693,0.287,13496,9358,3867,45.12328869,-94.52839455,382,3,23105,11697,11408,3.8,94.3,0.6,0.1,0.3,0.1,17132,59611,2064,29216,867,8.3,8.8,32.2,15.7,18.2,12.6,21.5,83.4,8.6,0.4,2.6,0.9,4.1,24.4,11589,80.8,11.7,7.1,0.3,2.9
1857,Meade,KY,0.708,0.247,12229,8660,3026,0.722,0.257,14110,10184,3632,37.96163597,-86.21028219,422,4,28452,14477,13975,3.8,89.5,3.2,0.8,0.6,0,21436,53732,2389,25119,1443,13.1,16.7,29.6,16,19.6,16.4,18.4,86.8,8.7,0.4,0.7,0.5,2.9,30.7,11827,75.7,20.8,3.5,0,8.2
846,Edwards,TX,0.696,0.284,1065,741,302,0.839,0.156,1064,893,166,29.98202582,-100.304252,72,2,2111,965,1146,56.9,43.1,0,0,0,0,1765,48462,24610,28968,13175,7,12.4,14,22.1,37.2,23.5,3.3,63.6,15.2,0,1.9,3,16.3,16.3,888,64.9,18.2,16.9,0,5.1
3033,Williams,OH,0.691,0.253,16938,11706,4287,0.723,0.258,18290,13218,4726,41.56052014,-84.58429552,452,4,37061,18360,18701,4.2,93.1,1.1,0.3,0.6,0,28371,47593,1733,24160,936,13.5,20.7,25.1,14.6,20.3,9.7,30.4,89,5.2,0.4,1.6,1.3,2.5,19.3,17586,82.6,12,5.2,0.3,5
1068,Grand Traverse,MI,0.533,0.407,51460,27412,20964,0.506,0.476,60226,30502,28682,44.69565625,-85.55585247,874,14,91222,44860,46362,2.7,92.6,1.1,0.9,0.6,0.1,71300,58229,1878,31701,1043,9.7,11.5,36.7,18.4,25.8,7.7,11.3,80.4,9,1,2.3,1.9,5.5,20.5,45390,83.6,8.6,7.5,0.3,5.4
121,Bamberg,SC,0.355,0.627,6195,2197,3886,0.373,0.619,6482,2417,4010,33.21927586,-81.05659969,699,34,14842,7218,7624,1.9,35.6,61.5,0.1,0.4,0,11687,32330,6355,19256,1474,24.5,40.7,32.1,19.4,17.3,11.6,19.5,81.3,11.1,1.2,3.8,0.9,1.7,24.4,5592,71.4,23.3,5.3,0,6.5
1959,Montgomery,IA,0.686,0.263,4998,3431,1312,0.688,0.298,5320,3659,1583,41.03018714,-95.15642896,213,7,10239,4931,5308,3.6,94.1,0,0.4,0,0,7772,43674,4866,25005,1550,16.5,27,30.4,17,22.3,10.6,19.6,79.6,9.5,0.4,4,1.6,4.9,19,4838,74.7,13.1,11.8,0.4,6.7
419,Cass,NE,0.665,0.274,12609,8388,3461,0.662,0.31,15284,10121,4737,40.90899107,-96.13971217,605,4,25513,12813,12700,3.1,94,0.3,0.2,0.3,0.3,19134,68284,2743,32509,1181,6.3,7,34.2,14.8,26.5,12.9,11.6,85.8,8.4,0.1,1.6,0.5,3.6,26.1,13311,79.2,15.5,5.1,0.1,2.8
1495,Kings,NY,0.179,0.797,746295,133653,595086,0.252,0.741,693937,174731,514133,40.6361825,-73.94935552,76238,7404,2635121,1247773,1387348,19.3,36,30.6,0.1,11.8,0,1657808,52782,467,29928,245,21.9,30.4,40.8,23.1,21.5,6.2,8.5,18.4,4.3,61.8,8.6,2.7,4.3,42.4,1217976,79.4,13.9,6.6,0.1,8.1
1711,Lumpkin,GA,0.78,0.18,12324,9613,2216,0.783,0.201,15531,12163,3126,34.57286511,-84.00425681,1064,15,31567,15502,16065,4.7,90.8,2.1,0.7,0.4,0,25045,43039,2966,23364,2071,20.1,18.8,28.8,20.8,24.1,11,15.3,85.2,7.1,0.2,3.2,0.9,3.5,28.7,14549,74.1,17.7,7.7,0.5,6
2856,Van Wert,OH,0.76,0.196,13584,10328,2667,0.777,0.205,14767,11470,3026,40.8554138,-84.591117,351,5,28262,13867,14395,3,94.4,1.2,0,0.3,0,21518,50974,1902,26130,1303,12.7,16.7,25.5,15.8,20.2,8.6,29.9,86,7.4,0.2,1.8,2,2.7,19.3,13522,84.3,9.7,5.8,0.2,5.3
2643,St. Mary's,MD,0.595,0.349,45169,26889,15786,0.559,0.416,54097,30245,22511,38.30058422,-76.6062928,1507,60,110979,55420,55559,4.8,75.1,14.2,0.2,2.8,0,81547,86508,3942,37528,1141,8.2,10.9,44.8,16.3,19.9,11.4,7.7,82.6,9.4,2.2,2.4,1,2.5,30.9,54121,64.6,31.1,4.2,0.1,4.2
538,Clay,IL,0.798,0.162,6278,5009,1014,0.816,0.164,6896,5626,1129,38.75388572,-88.48914513,350,14,13393,6602,6791,1.4,96.4,0.7,0.1,0.7,0,10402,47427,3055,25700,1622,14,17.8,24.5,15.1,19.8,13.1,27.5,85.4,8.5,1.1,1.2,1.3,2.5,20.6,6348,81.5,11.8,6.7,0,5
420,Cass,TX,0.791,0.194,11606,9182,2250,0.792,0.2,13856,10979,2777,33.07499881,-94.34646905,562,25,30118,14599,15519,4.3,76.4,17,0,0.4,0,22979,41432,2577,22145,1125,18.5,30.7,22.9,19.3,24.6,14,19.2,89.5,4.3,0.2,0.6,3.4,2,24,11991,74,16.7,9.3,0,7.3
258,Braxton,WV,0.694,0.26,5063,3516,1315,0.727,0.257,5664,4120,1457,38.70036159,-80.72011184,73,0,14345,7172,7173,1,97.1,0.3,0.1,0,0.2,11430,41266,3577,20633,1176,22.1,33.6,28.5,18.1,26.2,13.1,14.1,79.6,8.5,0.1,1.6,5.5,4.8,30.2,5320,77.7,16.9,4.7,0.7,15.3
570,Clinton,NY,0.464,0.474,28378,13181,13446,0.523,0.462,27471,14354,12690,44.74530905,-73.67875352,270,5,81224,41648,39576,2.8,89.9,4.1,0.2,1.5,0,64719,52759,1739,25833,659,15.7,20,31.6,22.1,23,9.2,14.1,79.1,10.6,0.8,4,2.8,2.7,19.8,36091,71,23.4,5.5,0.1,5.8
2157,Owyhee,ID,0.779,0.151,3920,3052,591,0.805,0.172,4742,3819,816,42.58016894,-116.1693871,406,5,11384,5817,5567,26.6,68.2,0.1,3.1,0.2,0,7422,36092,2078,19909,1781,23.3,33.7,24.1,15.3,18,25.9,16.8,72.8,10.7,0.5,5.5,2.5,7.9,24,4687,71.7,13.2,10.3,4.8,6.2
1994,Morrill,NE,0.825,0.13,2166,1788,282,0.826,0.151,2558,2113,386,41.71711774,-103.0061405,134,0,4903,2460,2443,15.4,82.1,0.8,0.5,0.1,0,3565,44201,3343,25120,2096,9.4,11.4,28.9,17.3,21.3,20.7,11.8,73.2,11.6,0.3,4.6,1.1,9.1,17.8,2417,68.5,20.9,10.2,0.5,3.7
1354,Jackson,FL,0.678,0.304,20997,14231,6383,0.691,0.302,22419,15488,6766,30.7954597,-85.21500423,3162,83,48571,26887,21684,4.6,65.5,26.8,0.7,0.6,0.1,38345,36944,1427,18126,676,21.6,31.6,29.1,27.1,23.1,10.4,10.4,88.6,6.1,0,1.3,1.6,2.4,23,16193,66.9,29,3.9,0.1,11.2
408,Carteret,NC,0.71,0.266,36919,26228,9806,0.705,0.283,42367,29886,11999,34.8932941,-76.54120135,1204,5,68699,33760,34939,4.2,86.4,5.7,0.2,1.1,0,54854,51584,1561,30903,875,12.5,18,35.1,20.3,22.7,12.9,9,79.5,11.1,0.4,1.5,2.4,5,23.2,30098,67.9,22.3,9.7,0.1,8
2034,Neosho,KS,0.706,0.238,6151,4340,1464,0.723,0.261,6629,4795,1727,37.55862897,-95.30670046,274,0,16209,7935,8274,5,90.6,1,0.4,0.4,0,11980,44402,2389,23589,1743,21.4,37.2,31,14.7,23,12.4,18.9,81.6,11.7,0.1,2.5,1.5,2.6,16.6,7418,73.7,19.1,7.1,0.1,2.9
2736,Taylor,GA,0.606,0.381,3402,2062,1295,0.63,0.361,3839,2418,1387,32.55792548,-84.25077141,237,12,8267,4047,4220,1,57.5,40.4,0,0.9,0,6478,29875,4380,18482,1397,28.2,34.9,28.2,20.9,20.4,13,17.5,85.5,11.4,0.3,0.2,1.7,0.9,28.9,2974,63.1,31,6,0,14.1
1942,Monroe,KY,0.857,0.12,4991,4278,601,0.868,0.123,5330,4628,657,36.71225341,-85.71596443,352,4,10645,5322,5323,3,93.6,2.5,0,0.2,0.1,8055,35665,4562,21985,2036,23.5,35.3,33.4,11.5,18,15.4,21.8,82.1,10,0.7,0.9,0.5,5.8,23.6,4270,70.1,15,13.5,1.3,7.7
1234,Hennepin,MN,0.285,0.638,672644,191768,429283,0.273,0.707,753159,205966,532608,45.00761521,-93.47694895,36936,1002,1224763,604629,620134,6.9,69.5,12.5,0.5,7,0,877093,71154,620,41794,428,11.5,15.4,48.5,15.3,22.6,4.5,9.1,73,7.9,7.4,3.3,2.7,5.6,23.4,674973,85,10.2,4.6,0.1,4.6
935,Ford,IL,0.711,0.224,6289,4474,1410,0.728,0.248,6809,4956,1691,40.59706922,-88.22350769,222,16,13470,6647,6823,3,94.3,0.9,0.4,0.5,0,10284,50851,3131,26611,1059,15.7,26.7,31.1,17.2,19.8,13.6,18.4,79.3,10.1,0.1,4.5,1.1,4.9,22.3,6177,78.2,11,10.7,0.2,6.6
1166,Hancock,IL,0.731,0.223,7818,5713,1744,0.809,0.17,6565,5309,1114,40.40423981,-91.16313899,369,4,18264,9083,9181,1.4,96.3,0.7,0,0.4,0,14321,51460,1581,26118,1173,11.2,19.1,29.5,14.8,22.6,12.9,20.2,83.3,8.2,0.2,2.1,0.8,5.3,23.4,8292,77.4,13.3,9.3,0,6.6
2492,Sanders,MT,0.725,0.206,5884,4268,1211,0.74,0.238,7651,5660,1819,47.67657534,-115.1329916,108,2,11414,5843,5571,2.7,90.3,0.1,3.6,0.5,0,9244,36445,4172,23020,2020,21.2,33.8,29.3,21.2,20,15.9,13.6,69.3,6.5,0.1,5.6,1.3,17.3,19.3,4084,65,13.2,21.6,0.2,7.6
1138,Haakon,SD,0.897,0.074,1044,936,77,0.902,0.092,1137,1026,105,44.29299053,-101.539099,104,2,2084,1047,1037,0.5,88.7,0,7.7,0,0,1554,38873,2266,22863,3016,17.2,27.3,37.4,13.1,18.7,16.5,14.3,67.5,3.6,0,10.1,0,18.8,11.5,902,62.4,13.3,23.7,0.6,2.2
1037,Glades,FL,0.688,0.292,4355,2996,1271,0.727,0.266,5201,3781,1384,26.95635849,-81.18996211,610,6,13197,7479,5718,20.8,60.7,12.9,3.8,0.4,0,10002,37385,4329,20476,2119,18,26.9,27.8,16,25.6,17.2,13.5,75.8,12.3,0.2,4.1,2.4,5.3,25.3,4052,65.8,22.1,12.1,0,10
1967,Montgomery,NC,0.618,0.359,11449,7070,4108,0.654,0.337,12779,8363,4305,35.33155144,-79.90416657,1213,38,27445,13584,13861,15.4,63.3,18.6,0.2,1.5,0,19521,38254,3424,20900,1404,20.9,30.6,24.7,18.4,16.7,16.1,24.1,86.7,8.6,0.2,0.8,1.1,2.6,24,10541,76.6,16,7.1,0.3,5.9
2890,Wallowa,OR,0.676,0.263,4177,2825,1097,0.661,0.316,5128,3390,1619,45.57894064,-117.183538,56,2,6864,3297,3567,2.7,93.4,0.2,0.2,0.3,0.1,5589,44877,3973,26898,1786,13.7,21.3,34.6,17.9,23.2,13.5,10.7,69.7,8.1,0,11.3,2.2,8.7,16.1,3034,68.4,18.4,13.2,0.1,4.9
1659,Lincoln,OR,0.412,0.512,24035,9901,12300,0.405,0.567,30441,12336,17248,44.64252874,-123.869912,521,13,47307,22779,24528,8.9,82.9,0.4,2.8,1.2,0.2,37758,43291,1854,25782,1021,18.4,30.4,27.4,27.7,24.2,9.2,11.5,72.4,13,1.3,5,1.5,6.8,18.9,18891,72,16.1,11.7,0.2,6.5
861,Ellis,TX,0.711,0.257,63064,44807,16197,0.662,0.322,85566,56651,27513,32.34894117,-96.79371841,5043,83,164092,80837,83255,25.5,62.6,8.9,0.3,0.7,0,111526,67371,2205,28612,695,10.5,14.6,33.2,13.5,25.8,11.8,15.7,82,11.1,0.4,0.9,0.6,5,29.3,78597,79.5,13.1,7.2,0.2,4.6
221,Bolivar,MS,0.331,0.655,12831,4251,8410,0.366,0.619,11631,4260,7203,33.79696941,-90.87372121,2072,79,33121,15613,17508,2.1,32.4,64.2,0.3,0.9,0,24533,28468,2121,16984,1068,37.4,51.7,31.1,22.3,22.7,10,13.9,82.7,11.2,0.2,2.2,1,2.6,18,11228,66.6,27,6.2,0.1,12.6
1991,Morgan,TN,0.815,0.158,6664,5429,1053,0.843,0.141,8218,6926,1161,36.13248031,-84.64880098,463,7,21639,12088,9551,1.2,93.3,5,0.1,0,0,17379,40707,3025,18649,1122,22.9,31.6,23.1,24.2,23.3,13.8,15.6,82.3,13.5,0,1.5,0.9,1.7,30.2,7120,67.9,25.7,6,0.4,7.6
2008,Multnomah,OR,0.176,0.76,357762,63055,271754,0.179,0.793,461453,82410,365787,45.54747959,-122.4169351,9894,172,788459,390542,397917,11.3,70.5,5.3,0.6,7,0.6,579030,60369,846,34848,434,16.4,20.6,45.2,17.9,21,5.6,10.4,60.1,9.5,11.4,5.1,6.7,7.2,26.6,416325,80.8,11.9,7.2,0.2,6.8
1115,Greensville,VA,0.398,0.586,4363,1737,2558,0.419,0.575,4565,1914,2627,36.67878901,-77.56351439,909,15,11606,7238,4368,3.9,37.1,57.5,0.1,0.1,0,9459,42121,5250,16835,1231,17,24.9,19.9,25.5,24,9.1,21.4,83.3,8.7,0.7,0.4,6.1,0.9,22.9,4012,75.4,21,3.5,0,5.7
1305,Humboldt,CA,0.324,0.583,33636,10883,19596,0.299,0.675,45961,13756,31010,40.69923009,-123.876044,571,10,135490,67508,67982,11.1,74.9,1,4.6,2.9,0.3,105236,43718,1579,25208,780,20.8,22.5,33.9,23.1,23.6,10.3,9.1,72,9.1,1.9,6.7,2.8,7.4,18.2,59592,63.6,21.5,14.5,0.4,8.9
1543,Lake,CO,0.398,0.504,3175,1264,1600,0.379,0.581,3938,1492,2287,39.20278823,-106.3555697,143,0,7481,4079,3402,33.9,64.3,0.1,0,0.6,0,5614,46176,6432,28492,3165,12.8,12.1,30.5,20.1,23.1,18.4,8,67,10.3,1.5,10.9,2,8.3,28.6,4184,72.7,18.1,9.2,0,5.7
1127,Grundy,IL,0.586,0.35,22891,13417,8021,0.62,0.358,26400,16372,9445,41.28569601,-88.41905692,1125,7,50333,25154,25179,9.4,87.1,1.3,0,0.7,0,36895,71598,4283,31914,1062,9.4,11.2,30.5,15,24.2,12.8,17.5,87.6,6.4,0.6,0.5,1,3.9,28.7,24608,84.8,11.8,3.5,0,5.8
1777,Marion,IN,0.361,0.589,361070,130228,212676,0.343,0.633,390405,133968,247265,39.78163624,-86.13826325,27690,796,939964,452538,487426,10.1,56.7,27.2,0.2,2.9,0,653701,44869,575,26284,368,19.8,29.6,34.9,17.7,25,7.5,14.9,82.5,9.1,1.9,1.8,1.5,3.2,23.3,450798,85.8,9.9,4.1,0.1,8
1184,Hardin,KY,0.625,0.323,43141,26970,13944,0.61,0.37,48941,29832,18101,37.6976111,-85.96319251,2304,13,107699,53731,53968,5.6,76.3,11.3,0.2,2,0.3,79290,51923,1694,26436,820,14.2,20.8,32.6,17.7,25.3,8,16.4,81.8,11.1,0.3,2.7,1.4,2.8,22.2,47636,75.5,20.4,4.1,0,6.4
844,Edwards,IL,0.838,0.13,3312,2777,432,0.841,0.145,3368,2833,488,38.41353228,-88.05720863,116,0,6570,3218,3352,1.3,96.7,0.4,0,0.9,0,5022,49632,3182,26549,1598,11.5,18.5,25.1,13.9,22.2,15,23.8,84.9,7.5,0.1,2.3,0.8,4.3,20.9,3136,82.7,9.2,8,0,6.1
3020,Wichita,TX,0.728,0.231,37913,27609,8752,0.698,0.285,45753,31930,13024,33.98842886,-98.7041034,4001,49,131778,68339,63439,18.5,66.1,9.9,0.6,2,0,96973,45776,1140,23263,604,18.9,26.6,33.2,20.7,23.8,10.4,11.9,77,8.6,0.8,7.6,2,4,15.4,55552,74.3,19.9,5.4,0.4,4.8
691,Custer,MT,0.705,0.227,5160,3638,1172,0.715,0.257,5878,4204,1510,46.25319932,-105.5737526,344,3,11895,5916,5979,3.2,92.4,0.5,1.3,0.4,0,9232,53050,8518,28501,2369,9.8,9.8,33.8,16.7,27.6,12.3,9.5,77.1,10,0.7,3.5,1.7,7,12.8,6417,73.1,16.8,9.8,0.3,1.7
591,Colfax,NE,0.684,0.27,3172,2171,857,0.707,0.275,3726,2636,1025,41.57486951,-97.0868542,971,7,10616,5527,5089,44.8,51.1,2.8,0,0.6,0.1,5342,54876,3806,23393,1769,8.2,9.2,24.5,8.9,18,11.5,37,69.9,16.2,0,3.8,3.4,6.6,16.2,5305,84.9,7.6,7.2,0.4,3.5
1205,Harrison,MS,0.64,0.333,62076,39710,20679,0.677,0.304,60941,41281,18499,30.51359752,-89.12467576,5625,89,200491,98928,101563,5.3,64.6,24,0.5,3,0,147304,44684,1105,23127,443,20.5,31.7,28.6,23.9,24.6,11.7,11.2,82.7,8.5,0.9,4.3,1.2,2.4,22.7,84351,75.4,18.8,5.5,0.2,9.4
